gvkey,year,exec_fullname,gender,page,joined_co,salary,bonus,stock_awards,option_awards,total_curr,tdc1,tdc1_pct,tdc2,ceo_duality,sic,roa,roe,tobin_q,firm_size,leverage,rd_intensity,capex_ratio,cash_ratio,op_margin
176928,2018,Richard J. Daly,MALE,71,1989-01-01,923.782,0,3056.698,3174.775,923.782,9153.594,25.048,24522.871,0,7373,0.12948225254939935,0.3910262268116605,4.050633945592641,8.103100976607553,0.3187581323569462,NA,0.02320936847520198,0.07988622265258571,0.13713942585279107
176928,2019,Richard J. Daly,MALE,71,1989-01-01,855.58,0,3400.116,3254.294,855.58,8850.251,-3.314,25757.891,0,7373,0.12423016466101476,0.42758314855875834,3.7606163836421262,8.263770828716098,0.3789007137887495,NA,0.01303888473728966,0.07047697580333445,0.14962633533538125
176928,2020,Timothy C. Gokey,MALE,62,NA,895.833,0,2867.291,2705.097,895.833,7978.909,24.538,9107.88,0,7373,0.09458464558877663,0.3434831043445971,2.970360546443617,8.494906681836998,0.4317354493026299,NA,0.0128226103317109,0.09757045277925476,0.14504305586222124
176928,2021,Timothy C. Gokey,MALE,62,NA,900,0,3138.849,3380.445,900,9132.841,14.462,25066.772,0,7373,0.06742776915687579,0.30263667016748663,2.309617601418754,9.002060802310515,0.5161334023005493,NA,0.00639178304884356,0.0338924604054287,0.14498267817449986
176928,2022,Timothy C. Gokey,MALE,62,NA,962.5,0,3701.756,3655.242,962.5,10068.228,10.242,14369.739,0,7373,0.06599500538634806,0.28092756644085465,2.046948756243267,9.008077298241329,0.4977720105768289,NA,0.00355009303692096,0.02758055038683772,0.13310329123679737
176928,2023,Timothy C. Gokey,MALE,62,NA,1016.667,0,3936.728,4796.017,1016.667,11298.93,12.224,6502.913,0,7373,0.07659233347908467,0.28144247076675893,2.375856653549045,9.015930039484845,0.4436428120293446,NA,0.00466404314239906,0.03072924257882718,0.1578643435793364
176928,2024,Timothy C. Gokey,MALE,62,NA,1054.167,0,4943.658,5272.225,1054.167,13070.813,15.682,17525.346,0,7373,0.0846962049888382,0.32198699321986995,2.789224012423566,9.017046842630858,0.433963408715908,NA,0.0069639910705619696,0.03702805008250024,0.16883875330423556
177099,2007,Douglas J. Shaw,MALE,68,NA,250,0,0,0,250,396.114,NA,396.114,0,7372,0.032799461544585413,0.08885664709284656,1.880865653926599,5.621653703776109,0.47549087014105507,0.179140672550213,0.00447265384698891,0.07086768037170793,0.3068034844796105
177099,2008,Douglas J. Shaw,MALE,68,NA,270,0,0,1496.336,270,1909.406,382.034,1909.406,0,7372,0.05544281074612232,0.12728822536330234,0.7215582093641073,5.625536207971427,0.4094715252270016,0.1341048700625107,0.00405520850981,0.11513548001052552,0.31138091844742516
177099,2009,Douglas J. Shaw,MALE,68,NA,325,0,0,395.619,325,806.789,-57.747,411.17,0,7372,0.04920386082525323,0.09537296651058196,1.1493668701836055,5.607187136055632,0.3353917548104282,0.15043880644646562,0.0031023177434218,0.12708855740389238,0.29025051858943673
177099,2010,Douglas J. Shaw,MALE,68,NA,337.822,0,259.28,454.76,337.822,1382.126,71.312,1382.126,0,7372,0.06585247753806424,0.11128486744008435,1.4091730779577123,5.630512612728426,0.2362188626459353,0.14442288039452836,0.00312046053693441,0.153462097164685,0.31212555902455486
177099,2011,Douglas J. Shaw,MALE,68,NA,375,0,367.08,659.821,375,1750.947,26.685,1091.126,0,7372,0.07987048220363467,0.11428153719733214,1.990784364848391,5.648347281101316,0.13149438732726848,0.13424017141187547,0.00678241996744438,0.1897315923360416,0.3167548615394604
177099,2012,Douglas J. Shaw,MALE,68,NA,390,0,384.44,648.873,390,1790.257,2.245,3112.523,0,7372,0.0904969600019996,0.12319974819868484,1.8580908312660511,5.768527224527165,0.06973874138458942,0.12015801309213206,0.00464279242406253,0.12291214936919262,0.3100740019084352
177099,2013,Douglas J. Shaw,MALE,68,NA,403.65,0,615.44,921.392,403.65,2387.693,33.372,5573.496,0,7372,0.08722945119949266,0.10835729847494552,3.493291315779874,5.875938649697423,0,0.11941256961782216,0.00596028162611299,0.22003373003067137,0.3042118782408297
177099,2014,Douglas J. Shaw,MALE,68,NA,415.76,0,2496.08,465.973,415.76,3793.127,58.862,5870.935,0,7372,0.0869122838876456,0.11027979113085495,3.0385378333484656,5.925479647135335,0,0.11210840108401084,0.02125739068199905,0.24121530318486983,0.28003252032520326
177099,2015,Douglas J. Shaw,MALE,68,NA,428.232,0,963.12,55.109,428.232,1750.685,-53.846,4387.366,0,7372,0.06686541411532287,0.08528168968233815,2.4147631238402503,5.970718324765989,0,0.11161579677682557,0.02204514187555993,0.2233866871539893,0.2422214022523763
177099,2016,"Scott E. Landers, CPA",MALE,53,NA,450,0,2585.088,0,450,3427.061,39.208,3427.061,0,7372,0.02835320559216791,0.04741096509946557,1.560679974096225,6.263436357104114,0.19999238124261937,0.14212965921323625,0.00476362805226467,0.17415336558607292,0.13513008685564856
177099,2017,"Scott E. Landers, CPA",MALE,53,NA,490,0,3900.349,0,490,4901.417,43.021,4901.417,0,7372,0.02197509742419922,0.03509752009909888,1.9112782054937745,6.265396265254297,0.1767892785856858,0.15973179410405064,0.01328961125368311,0.18022811519817508,0.05811975961558852
